accession_id	accession_raw	artist	artist_en	work_title	work_title_en	item_type	item_type_en	technique	technique_en	description	dimensions	years	subject_narrow	subject_broad	origin	origin_en	bio_chrono	category	location	condition	registrar	insurance_value	donation_no	acquisition_date	donor	notes	source_pages
G-F-0313-52	G.F. 0313 / 52	שילוני ישראל & מרים		אוסף גלויות ואחר						"ראה פירוט בנושא מורחב | כל פריט רשום = מעטפה עם החומר ,סה""כ פריטים | רשומים = סה""כ מעטפות במיכל הארכיון"		-צילומי משפחה /	No Image	-מישראל ,ריקות וכתובות					נרשם ב 09.04.2008-	כרטיס 52 מתןך 53	נילי דודסון				תלמה & צבי שילוני ,ילדיו של ישראל שילוני	"מיון הגלויות נעשה ע""י אסנת קובלנץ"	5073,5074
G-F-0313-53	G.F. 0313 / 53	שילוני ישראל & מרים		עבודת מוסמך אוניברסיטה						"עבודה על דרכו הפדאגוגית של ישראל שילוני ,נכתבה ע""י | סטודנטית מגרמניה ,סופי בוכהולץ | Sophie Buchholz"			No Image	סופי בוכהולץ ,סטודנטית למדעי החינוך באוניברסיטת					נרשם ב 29.10.2008-	כרטיס 53 מתוך 53	נילי דוידסון				סופי בוכהולץ,ברלין 2008 ,	"בתיק התוסף עותק מצולם של העבודה ,נשלח לרותי אופק ע""י צבי שילוני ,אוקטובר .2008"	5502,5503
G-F-0313-6	G.F. 0313 / 6	שילוני ישראל & מרים		"מכתבים בגרמנית ,אנגלית ועברית מ""שמות"" רבים"				מקור ,העתק ,תרגום חלקי לעברית	Origin, Copy, Parcial Summerization to Hebrew	"מכתבים מהרבה אנשים ,מהארץ ומחו""ל ,ששילוני התכתב | איתם .בדר""כ כל שם ""מיוצג"" עם  1-2 מכתבים .לעיתים | החתימה היא רק בשם הפרטי. | קטגוריות: | .1 התכתבות | .2 מחנות מעצר  /התכתבות עם חברים מהמחנות | באנגליה ואוסטרליה. | .3 מלח""ע II | .4 חינוך  /בית ספר הלל בחיפה  -ד""ר מאיר אלק | .5 עזרה הדדית  /בנק למשקפיים"			No Image	"-פלייר בגרמנית שכתבה רופאת העיניים ד""ר אילזה"					נרשם ב 25.09.2006-	כרטיס 6 מתוך 53	נילי דוידסון				תלמה & צבי שילוני ,ילדיו של ישראל שילוני		3378,3379,3380,3381
G-F-0313-7	G.F. 0313 / 7	שילוני ישראל & מרים		מכתבים בגרמנית ואנגלית אל שילוני				מקור	Original	"בין היתר יש בתיק מספר כותבים שהיו עם שילוני במחנות | המעצר באנגליה ואוסטרליה. | קטגוריות: | .1 מלח""ע שניה  /ראה מכתביםAlfred Lewy &Werner : | & Weldon | .2 מחנות מעצר  /אוסטרליה מכתבים יוסף קאן & | מכתבים של נתנזון & גאורג בוק"		החייל בצבא הבריטי ,הנס המרשטיין / שילוני	No Image	-מכתבים בגרמנית מאת הנס בוק Hans Bockמפריז .1959					נרשם ב 27.09.2006-	כרטיס 7 מתוך 53	נילי דוידסון				תלמה & צבי שילוני ,ילדיו של ישראל שילוני		3410,3411,3412
G-F-0313-8	G.F. 0313 / 8	שילוני ישראל & מרים		מכתבים מאת Werner &Alja Bamberger ,Arthur	Bamberger			מקור	Original	האחים ,ורנר וארתור במברגר Werner &Arthur | Bambergerהם קרובי משפחה של ישראל שילוני ,ככל | הנראה בני דודה מצד אמו .השנים כותבים מניו יורק. | רעיתו של ארתור שמה סוניה Sonja | רעיתו של ורנר שמה אלקה Elka | קטגוריות: | .1 משפחה | .2 הגירה | .3 שואה			No Image	-התכתבות עניפה עם ורנר ואלקה במברגר & Werner					נרשם ב 27.09.2006-	כרטיס 8 מתוך 53	נילי דוידסון				תלמה & צבי שילוני ,ילדיו של ישראל שילוני	בחלק ממכתבי ורנר במברגר חתומה איתו Alja | ובחלק אחר חתומה איתו על המכתב (?) Alka	3413,3414
G-F-0313-9	G.F. 0313 / 9	שילוני ישראל & מרים		מכתבים מאת Marga &Gerhard Wellhausen				מקור	Original	"Marga Wellhausenהיא ידידה קרובה של שילוני מהתקופה | בגרמניה .היא גרמניה ,לא יהודית ,שעברה את מלחמת | העולם ה II-בגרמניה .חיה בעיר צלה  Celleעם בעלה | Gerhardבמכתביה הראשונים אחרי המלחמה היא כותבת | רבות על תחושת האשמה ,על שלא ידעו את האמת, | מתנצלת על מה שקרה ,מתארת את הסבל של העם | הגרמני ומגינה עליו בדרכה שלה. | הבת  Corneliaוהבן  , Reinhardתאולוג כומר פרוטסטנטי | , Pastorגם הם כותבים מכתבים אל שילוני. | קטגוריות: | .1 הרייך השלישי | .2 מלח""ע II | .3 שואה"			No Image	המכתבים בתיק מסודרים לפי שנים:				התכתבות	נרשם ב 04.10.2006-	כרטיס 9 מתוך 53	נילי דוידסון				תלמה & צבי שילוני ,ילדיו של ישראל שילוני	ראה המשך מכתבים מאת & Marga Wellhausenמשפחתה בתיק G.F. 0313 / 10	3457,3458
G-F-0314	G.F.0314	ארונשטיין רפאל פריץ	Aronstein Raphael Fritz										No Image										2006.414		אילנה מיכאלי / ארכיון קיבוץ הזורע -בהסכמת הבת רותי		3407
G-F-0315	G.F.0315	גולדנר אמיל מנחם	Goldner Emil Menachem	חיתול תורה כתוב ומצויר עם צבעי מים.				מקור	Original	קטגוריות: | .1 מסורת | .2 מנהגים			No Image	חיתול התורה היה של אבי התורמים ,אמיל מנחם גולדנר,					נרשם ב 27.09.2006-	כרטיס 1 מתוך 1	נילי דוידסון		2006.415		יהודית הרשקוביץ & גדעון גולדנר ,הילדים ,חיפה	הסכם תרומה נחתם ב 09.04.2013-	3415,3416
G-F-0316	G.F.0316	"מוסד ""אהבה"""	"""Ahawa"" Schule"							קטגוריות: | .1 חינוך | .2 נוער | .3 עליית הנוער			No Image	-תרגום לעברית מגרמנית של חוברת עם הכותרת 10 :					נרשם ב 04.11.2006-	כרטיס 1 מתוך 1	נילי דוידסון		2006.421		אילת ברגור ,תל אביב	ראה ספר G.B.2420	3602,3603
G-F-0317	G.F.0317	מרכוס הרמן צבי & דוד		מכתבים				מקור	Original	מכתבים בעברית ובגרמנית מאת הרמן צבי מרכוס, | שמשרת ביחידת הובלה של הצבא הבריטי אל אחיו דוד | שנמצא בארץ ישראל.			No Image	-מכתבים בעברית ובגרמנית מ ,1941 / 42 -שכותב הרמן					נרשם ב 04.11.2006-	כרטיס 1 מתוך 1	נילי דוידסון		2006.421		אילת ברגור ,תל אביב	"המכתבים נמסרו ע""י האח דוד באמצעות אילת ברגור."	3606,3607
G-F-0318	G.F.0318	כסף חרום	Notgeld	כסף חרום	Notgeld					"אוסף שטרות של ""כסף חרום"" Notgeldמגרמניה בשני | אלבומים .בגלל המוטיבים הצבעוניים הפכו השטרות | לפריט לאספנים."			No Image	"ה Notgeld-הונפק ע""י הערים עצמן בתקופות קשות של"					נרשם ב 07.11.2006-	כרטיס 1 מתוך 1	נילי דוידסון					האלבומים הועברו אל רותי אופק מלשכת סטף ורטהיימר -מעבר לזה אין לנו כל מידע )חבל(.	3627
G-F-0319	G.F.0319	קליין יוסף & רות											No Image										2000.064		רות קליין ,נהריה ,באמצעות דיטר & יעל פיטרלינג	"החומר נמסר למוזיאון ע""י דיטר פיטרלינג לפי בקשת רות קליין."	3630
G-F-0320	G.F.0320	טפליץ רפאל		הווי משנותיה הראשונות של גן שומרון				העתק ,הדפסה	Copy, Printing	רפאל ואולי ,רעיתו ,עלו בילדותם מגרמניה עם | משפחותיהם ,ממייסדי גן שומרון. | מר טפליץ אסף והעלה על הכתב תמונות מהווי גן שומרון | ב 10-השנים הראשונות של הישוב .1934-1944 | קטגוריות: | .1 עליה | .2 התיישבות | .3 פרעות בישוב בארץ | .4 כתיבה אישית | .2		"-צילומים מתוך העבודה שעשה רפאל טפליץ"""	No Image	-רפאל טפליץ אסף וכתב בעברית )אחר הדפיס( את					נרשם ב 21.11.2006-	כרטיס 1 מתוך 1	נילי דוידסון		2006.424		טפליץ רפאל ,ביתן אהרון		3696,3697
G-F-0321	G.F.0321	שיפטן שושנה	Shiftan Shoshana	חוברת בעברית :קורות חיים -שושנה שיפטן				מקור	Original	חוברת בעברית :קורות חיים -שושנה שיפטן | קטגוריות: | .1 הרייך השלישי | .2 עליית נוער | .3 התיישבות | .4 נהריה			No Image	החוברת מספרת על שושנה לית יוכסנברג ,ילידת 1910					נרשם ב 14.12.2006-	כרטיס 1 מתוך 1	נילי דוידסון		2006.426		שושנה שיפטן & ברכה דוד )הבת( ,כפר ורדים		3782
G-F-0322	G.F.0322	דינקלסבילר & הוניגסברגר & וילמרסדורפר		עבודת שרשים באנגלית				הדפסת מקור	Printing of Original	עבודת שורשים באנגלית עם אילנות יוחסין מודפסת | ומכורכת | The Dinkelsbühler, Hönigsberger and Wilmersdörfer | Families of Floss and Fürth. | Biographies and Genealogical Charts			No Image					ביוגרפיות / היסטוריה יהודית	נרשם ב 18.12.2006-	כרטיס 1 מתוך 1	נילי דוידסון		2006.428		אברהם פרנק ,ירושלים	G.F. 0282 +G.F. 0285 +G.F.0286 מר אברהם פרנק חקר וכתב את שורשי משפחתו המורחבת .חומר נוסף בתיקים:	3784
G-F-0323	G.F.0323	נויהאוז & גלס								פרנציסקה גלס לבית רוט .אביה רודולף אמה סרנה | .Serena | קטגוריות: | .1 פריטים * פינוקל )משקפי אחיזה( | .2 תמונות | .3 מנהגים *מכתבים לרגל אירוסין | .3 אמנות  /תיאטרון *תמונות של שחקנים אוסטרים			No Image	-ספר אבלים Trauer-Albumשל הסבא והסבתא מצד					נרשם ב 24.02.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.430		פרנציסקה גלס ,כפר סבא	"הנ""ל תרמה גם 3 ספרים לספריית המוזיאון"	3843,3844
G-F-0324	G.F.0324	ורשאור אנה	Warschauer Anna	עיזבון				מקור	Original	פרופ' רפי כראל שלח את החומר מעיזבון דודתו ,אנה | ורשאור ,1975-1895 ,בפוזן  ,Posenשעלתה לארץ | בנישואין פיקטיבים  1939 שמה השתנה לפרידלר Friedler | ראה בתיק מכתב הסבר של פרופ' כראל .אחרי שנה | התגרשה מבעלה ולא נישאה יותר לעולם. | קטגוריות: | .1 תעודות אישיות | .2 חינוך | .3 ארץ ישראל *הצורך בנישואין פיקטיבים. | .4 מנהגים *תעודות/מכתבי הסיכום וההמלצות ממקום | העבודה.			No Image	-תעודה מאנה ורשאור משנת 1937 ממקום עבודתה בבנק					נרשם ב 25.01.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.434		פרופ' רפי כראל )היתה דודתו( ,סביון	השם נכתב כאן בעברית כפי שהוא מופיע בתעודות.	3841,3842
G-F-0325	G.F.0325	פיליפ מכס	Philip Max	"ד""ר מכס פיליפ 1837-1885 ,רופא כירורג."				מקור	Original	"ד""ר מכס פיליפ ,רוהראורט ,Ruhrortהיה רופא כירורג | ששרת במלחמת צרפת גרמניה .1870/71 | קטגוריות: | .1 רפואה | .2 המאה ה 19-"			No Image	הנינה גב' יהודית שמואלביץ כותבת:					נרשם ב 29.01.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.435 נחתם הסכם תרומה		יהודית שמואלביץ & חוה גונן ,הנינות של הרופא	ערכת הרופא מצויה מחוץ לתיק העיזבון אבל צמודה לו -באותו מיכל ארכיון | הסכם תרומה חתום 31.1.07 , | הערכה מוצגת במוזיאון ממאי 2008	3845,3846
G-F-0326	G.F.0326	נויברג משה	Neuberg Moshe	ספר ביוגרפי בעברית						משה נויברג כתב בעברית את קורות חייו. | קטגוריות: | .1 הרייך השלישי | .2 אנטישמיות | .3 כתיבה אישית | .4 ביוגרפיה | .5 תולדות משפחה | .6 התיישבות | .7 הכשרה * הולנד | .8 ארגונים * בלאו וייס ,בר כוכבא )מעט חומר( ועוד | .9 ארץ ישראל	93	2006	No Image	על חיי המסחר של המשפחה בגרמניה ,על ההווי					נרשם ב 11.03.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.443		יוכבד הררי בשם אביה משה נויברג ,שחי בזכרון יעקב	הספר רשום במלואו ברישום הספריה העברית, | ספר מסH.B.0356 .	4008,4009
G-F-0327	G.F.0327	בראב חן בטי	Braw Chen Betty	תעודות אישיות						קטגוריות: | .1 הרייך השלישי | .2 אנטישמיות			No Image	-בטי חן לבית בראב היתה עובדת משרד המשפטים					נרשם ב 11.03.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.444		"ד .גולדשטיין )הנ""ל היתה דודתו( ,קרית מוצקין"		4011,4012
G-F-0328	G.F.0328	קאופמן מרדכי פריץ	Kauffmann Mordechai Fritz	חוברת ביוגרפית-היסטורית מודפסת בעברית				העתק ,הדפסה	Copy, Printing	"דנית בן-אשר ,חוקרת וכותבת על אביה ,מרדכי פריץ | קאופמן )אחיו של יוליוס קאופמן  -ההוצאה לאור( של | סבתא ,מירלה שלזינגר ,ועל תקופתו. | קראה לחוברת ""פריץ מרדכי קאופמן 1888-1921 | משכיל יהודי-גרמני על רקע תקופתו"". | קטגוריות: | .1"			No Image	מרדכי ,פריץ קאופמן ,יליד גרמניה ,התחבר אל יהדות					נרשם ב 13.03.2007-	כרטיס 1 מתוך 1	נילי דוידסון				אוסף ישראל שילוני		4028,4029
G-F-0329	G.F.0329	הרצפלד לוי	Herzfeld Levi	חוברת ביוגרפית ,תרגום לעברית				העתק ,הדפסה	Copy, Printing	"הרב פרופ' לוי הרצפלד היה הסבא מצד האם של | אלישבע ליטן )התורמת(. | גב' ליטן תרגמה מספרו ,של גוסטב קרפלס מגרמנית | לעברית את הביוגרפיה של הסב. | קטגוריות: | .1 ביוגרפיה | .2 תולדות משפחה | .3 מלח""ע I | .4 מדעי הרוח * מדעי היהדות | .5 תיאולוגיה *כנסי הרבנים בגרמניה ,שהוא היה היוזם | שלהם יחד עם הרב לודויג פיליפסון"			No Image						נרשם ב 13.03.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.440		אלישבע ליטן ,נהריה	"הרב לוי הרצפלד מופיע בתצוגת המוזיאון על לוח הרבנים / השכלה | הרב הרצפלד לוי היה הסבא של הטייס היהודי פרידריך רודנברג )בתצוגת המוזיאון על לוח ""צבא""( ראה תיק ארכיון G.F.0207"	4030,4031
G-F-0330	G.F.0330	מנסבך אליעזר	Mansbach Eliezer	קורות חיים על CD				העתק	Copy	"ד""ר אליעזר מרכוס ,1902-1948 רופא שיניים יליד | קרלסרואה ,גרמניה ,עלה לאץ ב 1933-עם רעיתו מרגוט | ובנותיו שושנה ודבורה. | שוש מרכוס ,הבת ,ערכה את ארבעת האלבומים של | אביה על  CDעבור הצאצאים. | קטגוריות: | .1 רפואה * רפואת שיניים | .2 עליה | .3 ישראל | .4 התיישבות | .5 אירגונים | .6 פרעות בישוב בארץ | .7 פוליטיקה * בארץ ובחו""ל | .8 תמונות"			No Image	"ד""ר אליעזר מנסבך הקפיד לתעד את האירועים בחיי היום"					נרשם ב 19.03.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.446		שוש מרכוס ,הבת ,קיבוץ כברי		4037,4038
G-F-0331	G.F.0331	ויסברון סוזה	Wisbrun Suse	"עבודה על משפחת ויסברון """"Stolpersteine"				העתק	Copy	שני תלמידים בני 13 חקרו וכתבו במסגרת בית ספרם, | בעיר רמשייד  ,Remscheidגרמניה ,עבודה על משפחת | ויסברון היהודית  ,שחיה בעיר רמשייד עד לשואה  -להם | )ולא רק להם( היה זה מפגש ראשון עם יהודים ויהדות. | קטגוריות: | .1 היסטוריה יהודית | .2 שואה | .3 הגירה			No Image	משה פטר רון )עברת את שמו מויסברון לרון( הביא את					נרשם ב 20.03.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.447		משה פטר רון ,קרית ביאליק		4071,4072
G-F-0332	G.F.0332	ברווין ארנה שרה	Berwin Erna Sara	תעודת זהות				מקור	Original	קטגוריות: | .1 הרייך השלישי | .2 אנטישמיות			No Image	תעודת זהות עם חותמתשל Jגדולה עליה ,שהוצאה					נרשם ב 28.03.2007-	כרטיס 1 מתוך 1	נילי דוידסון				אוסף שילוני		4106
G-F-0333	G.F.0333	לוי אלברט & מקס		"משפחה יהודית במלח""ע I"				העתק ,הדפסה	Copy, Printing	"30 דפים מודפסים באנגלית ,נשלחו בדוא""ל מארה""ב | מקרובת המשפחה ,יהודית לוי .זה פרק  10 מתוך ספר | שהנ""ל )ככל הנראה( כתבה. | קטגוריות: | .1 ביוגרפיות | .2 מכתבים | .3 קהילות | .4 מלח""ע I"			No Image	"תיאור תקופת מלח""ע Iעפ""י התכתבות בין האב המגויס"					נרשם ב 24.04.2007-	כרטיס 1 מתוך 1	נילי דוידסון				",Judith Naomi Leviארה""ב ,בתו של מקס ,נכדתו של"		4108,4109
G-F-0334	G.F.0334	רוזנברגר מלוינה	Rosenberger Malvine					מקור	Original	מעיזבון מלוינה / מינה / מיני רוזנברגר נספתה בשואה ,אמו | של יוסף רביב )פרנץ רוזנברגר( ,נפטר באוגוסט .2006 | יוסף רביב עבד במאפית קיבוץ דורות. | לאו רוזנברג היה אביו של יוסף .לאו היה סוכן נוסע מטעם | בית חרושת לשטיחים בברסלאו. | קטגוריות: | .1 מנהגים | .2 פרסומים * ראה עיתון			No Image	-ספר אזכרות ואבל Jahrzeits und Trauer-Andachtsbuch					נרשם ב 27.06.2007 ,13.05.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.462 , 2007.454		רות רביב ,דורות		4123,4124
G-F-0335	G.F.0335	פינקוס לוטה	Pincus Lotte	תולדות משפחה				העתק ,הדפסה	Copy, Printing	קטגוריות: | .1 תולדות משפחה | .2 התיישבות | .3 פלשתינה | .4 ישראל			No Image	חוברת בעברית עם סיפור חייה של גב' לוטה פינקוס לבית					ב 20.05.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.457		מיקי גולדויין ,ארגון יוצאי מרכז אירופה ,חיפה		4134
G-F-0336	G.F.0336	דיאמנט סילביה & פאול		"ספר בעברית ,שנכתב ע""י הבת רות אלון-דיאמנט"						קטגוריות: | .1 תולדות משפחה | .2 הרייך השלישי | .3 שואה | .4 תנועות נוער | .5 עליה | .6 התיישבות			No Image	רות אלון-דיאמנט כתבה את תולדות משפחת הוריה,				ביוגרפיות	נרשם ב 19.06.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.461		רות אלון-דיאמנט ,הבת ,בית השיטה		4221
G-F-0337	G.F.0337	בר )שינדלר( חנה		תמונה				מקור	Original				No Image	-תמונה מליל סדר פסח שנת ,1917 בריסל.					נרשם ב 04.07.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.465		חנה בר ,פסגת חן -חיפה		3461
G-F-0338	G.F.0338	"פסן רבי ד""ר פסן"	Pessen Rabbiner Dr. Eugen	שתי מזוודות						שתי מזוודות איתן עלתה משפחת פסן לארץ ב.1939- | המזוודות שמורות במחסן של רחל לזר. | בתיק מייל ששלח דוד פסן בנם של זוג ,מספר מעט על | הוריו.			No Image						נרשם ב 13.08.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.460		פרופ' כראל )בן משפחה( ,סביון		4353
G-F-0339	G.F.0339	יומנים		יומן נסיעה של קבוצת נערים יהודים Die grosse Fahrt -	1922			מקור ,הדפסה	Original, Printing	קטגוריות: | .1 חינוך נוער ספורט | .2 אירגונים *בלאו-וייס			No Image	מחברת / יומן שכתב נער ב ,1922-שיחד עם עוד 4 נערים					נרשם ב 13.08.2007-	כרטיס 1 מתוך 1	נילי דוידסון						4354,4355
G-F-0340	G.F.0340	בר קתה		אמנות				מקור ,העתק	Original, Copy	מפאת מידות החומרים ,הוצא תיק גדול שאינו ניתן | לאיכסון במיכל ארכיון. | קתה בר בעזרת בעלה אלברט יצרה בובות תיאטרון איתן | הציגה את המחזות שבעלה והיא כתבו. | קטגוריות: | .1 אמנות  /ציור  /מחזות )ראה תסקית( אדריכלות-באוהאוז | .2 פריטים * 3 בובות עץ לתיאטרון בובות | .2 כתיבה אישית *כתיבתו של אלברט בר ,מחזה וחרוזים.			No Image	2 -תחריטים )שחור / לבן( מקוריים מ 1929-חתומים -קשה					נרשם ב 20.08.2007-	כרטיס 1 מתוך 1	נילי דוידסון		2007.475 & 2007.470		מיכל דרור הנכדה ,כפר ורדים & רחל פלאות ,טבעון	02.10.2007 רחל פלאות ,טבעון ,הביאה חומרים שהיו ברשותה מחברתה רחל דרור )נפטרה ב (2007-הבת של קתה בר	4383,4384
G-F-0341-1	G.F. 0341 / 1	פייגה רודולף	Feige Rudolf	דאונים & מטאורוגיה				מקור ,העתק	Original, Copy	"ד""ר רודולף פייגה יליד ,1889 ברסלאו הגיע לארץ ב 1935- | למכביה ה , II-במשלחת של  21 טייסי דאונים  -הפעם | הראשונה והאחרונה שדיסציפלינה זאת היתה מיוצגת | במכביה .בנו ,יהויכין יליד  1929 מספר שהכל תוכנן כדי | שהטייסים היהודים יוכלו לעזוב את אירופה בלי בעיות | מצד השלטון הנאצי. | רודולף נפל בירושלים במלחמת השחרור .רודולף היה | טייס ,מדריך טיס ,מטאורולוג. | בברסלאו ,טרם עלייתו לארץ ניהל את האובסרבטוריון ב- | Breslau-Krietern | קטגוריות: | .1 חינוך | .2 נוער | .3 ספורט | .4 מדעים | .5 כתיבה אישית *שיר ליום הולדת | .6 פריטים *קנקן בירה ,אוסף ""בולי משרד"" | .7 תמונות | .8 תעופה"			No Image	-תמונות של בית המשפחה בברסלאו ששימש גם					נרשם ב 13.08.2007-	כרטיס 1 מתוך	נילי דוידסון		2007.484 & 2007.469		יהויכין פייגה ,הבן & רז פלג ,הנכד ,רעות	רישום התרומה וההסכם תרומה נעשו מול רז פלג .יהויכין פייגה עוזב את הארץ. | -הסכם תרומה חתום 18.9.07 ,	4356,4357,4358
G-F-0341-10	G.F. 0341 / 10	פייגה רודולף	Feige Rudolf	מזג אויר ומטאורולוגיה בפלשתינה				מקור ,העתק	Original, Copy	החומרים בתיק זה מצוינים בקטלוג י .פייגה במספר .3 | קטגוריות: | .1 מדעים *מטאורולוגיה ואקלים			No Image	הנושאים:					נרשם ב 12.09.2010-	כרטיס 10 מתוך	נילי דוידסון		2010.646		רז פלג ,הנכד ,רעות	"תיקים G.F. 0341 / 8 עד G.F. 0341 / 26 הופקדו בארכיון אחרי שמוינו ע""י יהויכין פייגה ,בנו של ד""ר רודולף פייגה וסומנו במספרים 1 עד .19 על כל תיק יש דף פירוט בגרמנית / אנגלית | של החומרים בתוך התיק. | ראה תרגום החומרים לעברית ב""-נושא מורחב"""	6781,6782
G-F-0341-11	G.F. 0341 / 11	פייגה רודולף	Feige Rudolf	ארגון המטאורולוגיה הבינלאומי & מטאורולוגיה חקלאית				מקור ,העתק	Original, Copy	"החומרים בתיק זה מצוינים בקטלוג י .פייגה במספר .4 | החומר בתיק נאסף בועידות/כנסים של הארגון | המטאורולוגי הבינלאומי  -המחלקה למטאורולוגיה | חקלאית .1947 ,כתוב אנגלית ,הדפסה. | החומרים בתיק הושארו בקבצים ממוספרים כפי שמיין | ומספר אותם יהויכין פייגה ,בנו של רודולף פייגה ,סה""כ | 28 קבצים. | קטגוריות: | .1 מדעים *מטאורולוגיה ומטאורולוגיה חקלאית"			No Image	בין היתר ניתן למצוא בתיק:					נרשם ב 14.09.2010-		נילי דוידסון		2010.646		רז פלג ,הנכד ,רעות	"תיקים G.F. 0341 / 8 עד G.F. 0341 / 26 הופקדו בארכיון אחרי שמוינו ע""י יהויכין פייגה ,בנו של ד""ר רודולף פייגה וסומנו במספרים 1 עד .19 על כל תיק יש דף פירוט בגרמנית / אנגלית של | החומרים בתוך התיק. | ראה תרגום החומרים לעברית ב""-נושא מורחב"""	6783,6784
G-F-0341-12	G.F. 0341 / 12	פייגה רודולף	Feige Rudolf	"מאמרים של ד""ר רודולף פייגה"				מקור ,העתק	Original, Copy	החומרים בתיק זה מצוינים בקטלוג י .פייגה במספר .5 | המאמרים נכתבו בשנים  1923-1928 עת ניהל את | האובסרבטוריון בBreslau-Krietern- | קטגוריות: | .1 מדעים *מטאורולוגיה ,אקלים | .2 שירה *מסמך מס 18 . | .3 פרסומים *מסמך מס 6 . | .4 פלשתינה *מסמך מס 12.			No Image	רשימת המאמרים של רודולף פייגה )בשפה בה נכתבו,					14.09.2010-נרשם ב	מתוך 12 כרטיס	נילי דוידסון		2010.646		רעות, הנכד,רז פלג	"אנגלית של / על כל תיק יש דף פירוט בגרמנית.19 עד 1 בנו של ד""ר רודולף פייגה במספרים, הופקדו בארכיון אחרי שמוינו ע""י יהויכין פייגהG.F. 0341 / 26 עדG.F. 0341 / 8 תיקים | .החומרים בתוך התיק | 7473  מתוך 6786 עמוד"	6785,6786
G-F-0341-13	G.F. 0341 / 13	פייגה רודולף	Feige Rudolf	כתיבה בנושא מטאורולוגיה ואקלים				מקור ,העתק	Original, Copy	החומרים בתיק זה מצוינים בקטלוג י .פייגה במספר .6 | לתיק זה ציין יהויכין פייגה  19-1 מסמכים/נושאים | אך ,בתיק מצואים רק  3-11 מסמכים/נושאים. | מרבית המסמכים הם צילומים של המקור. | קטגוריות: | .1 מדעים *מטאורולוגיה ,אקלים			No Image	מספור המסמכים נאמן לרשימתו של יהויכין פייגה					נרשם ב 21.09.2010-	כרטיס 13 מתוך	נילי דוידסון		2010.646		רז פלג ,הנכד ,רעות	"תיקים G.F. 0341 / 8 עד G.F. 0341 / 26 הופקדו בארכיון אחרי שמוינו ע""י יהויכין פייגה ,בנו של ד""ר רודולף פייגה במספרים 1 עד .19 על כל תיק יש דף פירוט בגרמנית / אנגלית של | החומרים בתוך התיק."	6787,6788
G-F-0341-14	G.F. 0341 / 14	פייגה רודולף	Feige Rudolf	מאמרים ונאומים				מקור ,העתק	Original, Copy	החומרים בתיק זה מצוינים בקטלוג י .פייגה במספר .7 | קטגוריות: | .1 מדעים *מטאורולוגיה ,אקלים			No Image	מתוך 6 מסמכים רשומים על דף הקטלוג שמצורף לתיק,					נרשם ב 21.09.2010-	כרטיס 14 מתוך	נילי דוידסון		2010.646		רז פלג ,הנכד ,רעות	"תיקים G.F. 0341 / 8 עד G.F. 0341 / 26 הופקדו בארכיון אחרי שמוינו ע""י יהויכין פייגה ,בנו של ד""ר רודולף פייגה במספרים 1 עד .19 על כל תיק יש דף פירוט בגרמנית / אנגלית של | החומרים בתוך התיק."	6789,6790
G-F-0341-15	G.F. 0341 / 15	פייגה רודולף	Feige Rudolf	צילומי פרקים ומאמרים מתוך ספרים				מקור ,העתק	Original, Copy	החומרים בתיק זה מצוינים בקטלוג י .פייגה במספר .8 | המסמכים ממוספרים על דף הקטלוג של יהויכין פייגה ב- | .19-36 | קטגוריות: | .1 מדעים *מטאורולוגיה ואקלים *בוטניקה | .2 חקלאות			No Image	המספרים הרשומים מטה זהים למספרים שעל דף					נרשם ב 21.09.2010-	כרטיס 15 מתוך	נילי דוידסון		2010.646		רז פלג ,הנכד ,רעות	"תיקים G.F. 0341 / 8 עד G.F. 0341 / 26 הופקדו בארכיון אחרי שמוינו ע""י יהויכין פייגה ,בנו של ד""ר רודולף פייגה במספרים 1 עד .19 על כל תיק יש דף פירוט בגרמנית / אנגלית של | החומרים בתוך התיק."	6791,6792,6793
