resource_template_label,item_set_id,resource_class_term,is_public,dcterms:identifier,dcterms:isPartOf,dcterms:title,description_he,description_de,description_en,ric-o:hasOrHadLanguage,ric-o:hasDocumentaryFormType,ric-o:hasProductionTechniqueType,ric-o:hasRecordState,ric-o:hasOrHadMainSubject,ric-o:hasCreationDate,ric-o:hasPublicationDate,arkivo:creationPlace,bibo:numPages
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0331-001-R0001,IL-MTFN-001-G-F-0331-001,Moshe Peter Ron's Contribution to Museum,"משה פטר רון (עברת את שמו מויסברון לרון) הביא את החומר למוזיאון וסיפר:; הוא ורעיתו, שניהם ילידי רמשייד, הוזמנו לפני מספר חודשים ע""י העיר לקחת חלק בגילוי ה; ""Stolpersteine""; אנדרתת זיכרון על הבית של המשפחה; ראה צילום בתיק.","Moshe Peter Ron (er änderte seinen Namen von Weisbron zu Ron) brachte das Material ins Museum und erzählte: Er und seine Frau, beide gebürtig aus Remscheid, wurden vor einigen Monaten von der Stadt eingeladen, an der Enthüllung der ""Stolpersteine"" teilzunehmen; ein Denkmal vor dem Haus der Familie; siehe Foto in der Akte.","Moshe Peter Ron (Hebraized his name from Weisbron to Ron) brought the material to the museum and said: He and his wife, both natives of Remscheid, were invited a few months ago by the city to take part in the unveiling of the ""Stolpersteine""; a memorial in front of the family's house; see photo in the file.",Unspecified,לא מזוהה,,original,Moshe Peter Ron,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0331-001-R0002,IL-MTFN-001-G-F-0331-001,Presentation of School Project in Memory of Suza Weisbron,"במעמד זה הוגשה למשפחה העבודה אותה עשו שני תלמידי בית הספר שם למדה בעבר גם סוזה ויסברון שנספתה על ה""פטריה"", אחותו של משה רון.","Bei dieser Gelegenheit wurde der Familie die Arbeit überreicht, die zwei Schüler der Schule gemacht haben, an der früher auch Susa Weisbron, die auf der ""Patria"" umkam, die Schwester von Moshe Ron, gelernt hatte.","On this occasion, the work done by two students of the school where Suza Weisbron, who perished on the ""Patria"", the sister of Moshe Ron, had also studied in the past, was presented to the family.",Hebrew,לא מזוהה,,original,Suza Weisbron,,,,
Certificates,7612,arkivo:Certificate,true,IL-MTFN-001-G-F-0332-001-R0001,IL-MTFN-001-G-F-0332-001,"Identity Card of Erna Sara Berwin, January 1939","תעודת זהות עם חותמתשל J גדולה עליה, שהוצאה בינואר 1939 לארנה שרה (תוספת לשם המקורי) ברווין Erna Sara Berwin nan","Personalausweis mit einem großen J-Stempel darauf, ausgestellt im Januar 1939 für Erna Sara Berwin (Zusatz zum ursprünglichen Namen).","Identity card with a large J stamp on it, issued in January 1939 to Erna Sara Berwin (addition to the original name).",German,תעודה|Certificate,,original,Erna Sara Berwin,1939-01,,,
Religious Materials,7626,,true,IL-MTFN-001-G-F-0334-001-R0001,IL-MTFN-001-G-F-0334-001,Yahrzeit and Mourning Book by Melvina Rosenberger,ספר אזכרות ואבל Jahrzeits und Trauer;Andachtsbuch של מלוינה /מינה רוזנברגר.,Jahrzeits und Trauer; Andachtsbuch von Melvina / Mina Rosenberger.,Yahrzeit and Mourning; Prayer Book of Melvina / Mina Rosenberger.,Hebrew|German,Book,print,original,Melvina Rosenberger,,,,
Organization Papertrails,7616,arkivo:Organization_Papertrail,true,IL-MTFN-001-G-F-0334-001-R0002,IL-MTFN-001-G-F-0334-001,German Newspapers of Breslau Emigrants Organization,4 עיתונים בגרמנית 'ידיעות של ארגון יוצאי ברסלאו בישראל' משנות ה090 למאה ה;20.,4 Zeitungen auf Deutsch 'Nachrichten der Organisation der Breslauer Auswanderer in Israel' aus den 1990er Jahren des 20. Jahrhunderts.,4 newspapers in German 'News of the Organization of Breslau Emigrants in Israel' from the 1990s of the 20th century.,German,עיתון|Newspaper,print,original,,,1990,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0334-001-R0003,IL-MTFN-001-G-F-0334-001,German Postcard,גלויה בגרמנית.,Postkarte auf Deutsch.,Postcard in German.,German,גלויה|Postcard,print,original,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0334-001-R0004,IL-MTFN-001-G-F-0334-001,Greetings,ברכות.,Glückwünsche.,Congratulations.,Unspecified,כרטיס ברכה|Greeting Card,,other,,,,,
Certificates,7612,arkivo:Certificate,true,IL-MTFN-001-G-F-0334-001-R0005,IL-MTFN-001-G-F-0334-001,Death Certificates of Leo and Minna Rosenberg,"תעודות פטירה של, רוזנברג לאו Leo Rosenberg; יליד 1885 נפטר ב-1959 ורוזנברג מינה Minna; ילידת 1895 נפטרה ב-1981.","Sterbeurkunden von Leo Rosenberg; geboren 1885, gestorben 1959, und Minna Rosenberg; geboren 1895, gestorben 1981.","Death certificates of Leo Rosenberg; born 1885, died 1959, and Minna Rosenberg; born 1895, died 1981.",Hebrew,תעודה|Certificate,,original,Leo Rosenberg|Minna Rosenberg,,,,
Legal Documents,7615,bibo:LegalDocument,true,IL-MTFN-001-G-F-0334-001-R0006,IL-MTFN-001-G-F-0334-001,Passport of Mina Rosenberg with Third Reich Stamp,"דרכון של מינה רוזנברג לבית כהן עם חותמת הרייך השלישי מ-1937, הונפק בברסלאו.","Reisepass von Mina Rosenberg, geborene Cohen, mit einem Stempel des Dritten Reichs von 1937, ausgestellt in Breslau.","Passport of Mina Rosenberg, née Cohen, with a stamp of the Third Reich from 1937, issued in Breslau.",German,תעודה|Certificate,print,original,Mina Rosenberg,1937,,,
Certificates,7612,arkivo:Certificate,true,IL-MTFN-001-G-F-0334-001-R0007,IL-MTFN-001-G-F-0334-001,Israeli Passport of Mina Rosenberg,דרכון ישראלי של מינה רוזנברג.,Israelischer Pass von Mina Rosenberg.,Israeli passport of Mina Rosenberg.,Hebrew,תעודה|Certificate,,original,Mina Rosenberg,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0334-001-R0010,IL-MTFN-001-G-F-0334-001,Advertising Postcard for Carpet Factory,גלוית פרסומת לבית החרושת לשטיחים עבורו עבד לאו רוזנברג כסוכן נוסע.,"Werbepostkarte für die Teppichfabrik, für die Leo Rosenberg als Reisender arbeitete.",Advertising postcard for the carpet factory for which Leo Rosenberg worked as a traveling agent.,Hebrew,גלויה|Postcard,print,original,Leo Rosenberg,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0334-001-R0011,IL-MTFN-001-G-F-0334-001,Postcard to Mina Cohen from Tirza Gritz,"גלויה כתובה בעברית (של 'מתחילים') אל מיני/מינה כהן בברסלאו מאת תרצה גריץ, ככל הנראה חברת ילדות, אין תאריך.","Eine Postkarte in Hebräisch (von 'Anfängern') an Mini/Mina Cohen in Breslau von Tirza Gritz, wahrscheinlich eine Kindheitsfreundin, kein Datum.","A postcard written in Hebrew (by 'beginners') to Mini/Mina Cohen in Breslau from Tirza Gritz, presumably a childhood friend, no date.",Hebrew,גלויה|Postcard,handwriting,original,Mina Cohen,,,,
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0334-001-R0012,IL-MTFN-001-G-F-0334-001,Poem by Julius Sachs for Mina Rosenberg's 70th Birthday,"שיר בגרמנית (5 עמודים), שכתב יוליוס זקס Julius Sachs בן דוד של לאו רוזנברג ליום ההולדת ה;70 של מינה רוזנברג, 1965.","Ein Gedicht auf Deutsch (5 Seiten), geschrieben von Julius Sachs, dem Cousin von Leo Rosenberg, zum 70. Geburtstag von Mina Rosenberg, 1965.","A poem in German (5 pages), written by Julius Sachs, cousin of Leo Rosenberg, for Mina Rosenberg's 70th birthday, 1965.",German,שיר|Poem,handwriting,original,Mina Rosenberg,1965,,,5
Legal Documents,7615,bibo:LegalDocument,true,IL-MTFN-001-G-F-0334-001-R0013,IL-MTFN-001-G-F-0334-001,Ketubah of Mina Cohen,כתובה של מינה לבית כהן.,Ketubah von Mina aus der Familie Cohen.,Ketubah of Mina from the Cohen family.,Hebrew,כתובה|Ketubah,handwriting,original,Mina Cohen,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0334-001-R0014,IL-MTFN-001-G-F-0334-001,Business card of Mini and Leo Rosenberg,כרטיס הביקור של מיני ולאו רוזנברג.,Visitenkarte von Mini und Leo Rosenberg.,Business card of Mini and Leo Rosenberg.,Unspecified,כרטיס ביקור|Business Card,print,original,Mini Rosenberg|Leo Rosenberg,,,,
Certificates,7612,arkivo:Certificate,true,IL-MTFN-001-G-F-0334-001-R0015,IL-MTFN-001-G-F-0334-001,Tree Donation Certificate for Mina Rosenberg,"תעודת תרומת עצים של קק""ל על שם מינה רוזנברג ובעלה לרגל חתונת הכסף (1944), ננטע ע""י סניף ויצו, בת ים.","Zertifikat über Baumspende des JNF im Namen von Mina Rosenberg und ihrem Ehemann anlässlich der Silberhochzeit (1944), gepflanzt von der WIZO-Filiale, Bat Yam.","Tree donation certificate of the JNF in the name of Mina Rosenberg and her husband on the occasion of their silver wedding anniversary (1944), planted by the WIZO branch, Bat Yam.",Hebrew,תעודה|Certificate,print,original,Mina Rosenberg,1944,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0335-001-R0001,IL-MTFN-001-G-F-0335-001,סיפור חייה של גב' לוטה פינקוס,"חוברת בעברית עם סיפור חייה של גב' לוטה פינקוס לבית להמן, תושבת בית ההורים ברח' מאפו בחיפה (המוסד שייך לארגון יוצאי מרכז אירופה).","Ein Heft auf Hebräisch mit der Lebensgeschichte von Frau Lotte Pinkus, geborene Lehmann, Bewohnerin des Elternhauses in der Mapo-Straße in Haifa (die Einrichtung gehört der Organisation der Auswanderer aus Mitteleuropa).","A booklet in Hebrew with the life story of Mrs. Lotte Pinkus, née Lehmann, a resident of the parents' home on Mapo Street in Haifa (the institution belongs to the Organization of Central European Emigrants).",Hebrew,חוברת|Booklet,print,original,לוטה פינקוס,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0337-001-R0001,IL-MTFN-001-G-F-0337-001,"Passover Seder Night 1917, Brussels","תמונה מליל סדר פסח שנת 1917, בריסל.","Bild von der Pessach-Seder-Nacht 1917, Brüssel.","Picture from the Passover Seder night 1917, Brussels.",Irrelevant,תצלום|Photograph,photography,original,,1917,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0338-001-R0001,IL-MTFN-001-G-F-0338-001,"Suitcases of the Passen Family, 1939",שתי מזוודות איתן עלתה משפחת פסן לארץ ב-1939. המזוודות שמורות במחסן של רחל לזר.,"Zwei Koffer, mit denen die Familie Passen 1939 ins Land kam. Die Koffer werden im Lager von Rachel Lazar aufbewahrt.",Two suitcases with which the Passen family came to the country in 1939. The suitcases are kept in Rachel Lazar's storage.,Unspecified,חפץ|Object,,original,,1939,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0339-001-R0001,IL-MTFN-001-G-F-0339-001,Die grosse Fahrt 1922 Diary,"Die grosse Fahrt 1922 מחברת/יומן שכתב נער ב-1922, שיחד עם עוד 4 נערים עושים את דרכם ברכבת ובאוניה (על ה;Bodensee) לכנס של הבלאו;וייס Blau;Weiss. בתוך היומן ניתן לקרוא את שמות 5 הנערים אבל אין לדעת מי מהם כתב את היומן. שמותיהם: Erich, Manfred,Paul, Max Spinner, Max Schneuer. הם מסתובבים 42 בכל חלקי גרמניה.","Die große Fahrt 1922 Notizbuch/Tagebuch, das ein Junge 1922 schrieb, der zusammen mit 4 weiteren Jungen mit dem Zug und dem Schiff (auf dem Bodensee) zu einem Kongress der Blau-Weiß Blau-Weiss reist. Im Tagebuch kann man die Namen der 5 Jungen lesen, aber es ist nicht bekannt, wer von ihnen das Tagebuch geschrieben hat. Ihre Namen: Erich, Manfred, Paul, Max Spinner, Max Schneuer. Sie reisen durch ganz Deutschland.","The Great Journey 1922 Notebook/Diary written by a boy in 1922, who, along with 4 other boys, makes his way by train and ship (on Lake Constance) to a Blau-Weiss conference. Inside the diary, you can read the names of the 5 boys, but it is not known who among them wrote the diary. Their names: Erich, Manfred, Paul, Max Spinner, Max Schneuer. They travel all over Germany.",German,יומן|Diary,handwriting,original,,1922,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0339-001-R0002,IL-MTFN-001-G-F-0339-001,Diary Print in German by Sophie Buchholz,"בתיק הדפסה של היומן בשפה המקורית בגרמנית (הדפיסה סופי בוכהולץ, סטודנטית מאוניברסיטת פוטסדם שעשתה את הפרקטיקום שלה במוזיאון, 2007).","Im Ordner der Druck des Tagebuchs in der Originalsprache auf Deutsch (gedruckt von Sophie Buchholz, Studentin an der Universität Potsdam, die ihr Praktikum im Museum absolvierte, 2007).","In the folder, the print of the diary in the original language in German (printed by Sophie Buchholz, a student from the University of Potsdam who did her internship at the museum, 2007).",German,יומן|Diary,typewriting,original,Sophie Buchholz,,2007,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0001,IL-MTFN-001-G-F-0340-001,Original Engravings from 1929,2 תחריטים (שחור/לבן) מקוריים מ-1929 חתומים; קשה לזהות את השם.,2 originale Radierungen (schwarz/weiß) von 1929 signiert; der Name ist schwer zu erkennen.,2 original engravings (black/white) from 1929 signed; the name is hard to identify.,Unspecified,ציור|Painting,drawing,original,,1929,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0002,IL-MTFN-001-G-F-0340-001,Prints by Rachel Szalit,3 הדפסים (שחור/לבן) של הציירת היהודיה רחל שליט (מאוחר יותר שליט;מרכוס 1896;1942. Rachel Szalit;Marccus.,3 Drucke (schwarz/weiß) der jüdischen Malerin Rachel Szalit (später Szalit; Marcus 1896; 1942. Rachel Szalit; Marccus.,3 prints (black/white) by the Jewish painter Rachel Szalit (later Szalit; Marcus 1896; 1942. Rachel Szalit; Marccus.,Unspecified,אלמנט גרפי|Graphic Element,print,original,Rachel Szalit,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0003,IL-MTFN-001-G-F-0340-001,"Engraving by Menachem, 1919","תחריט (שחור/לבן) שם האומן מנחם ... שם משפחה לא מזוהה, 1919.","Gravur (schwarz/weiß) Name des Künstlers Menachem ... Nachname unbekannt, 1919.","Engraving (black/white) artist's name Menachem ... last name unknown, 1919.",Unspecified,ציור|Painting,drawing,original,Menachem,1919,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0004,IL-MTFN-001-G-F-0340-001,Portrait Drawing by Ludwig Meidner,"רישום דיוקן (ככל הנראה של פרנץ ורפל) ע""י לודוויג מיידנר (1884;1966) Ludwig Meidner 1928.",Porträtzeichnung (vermutlich von Franz Werfel) von Ludwig Meidner (1884;1966) Ludwig Meidner 1928.,Portrait drawing (presumably of Franz Werfel) by Ludwig Meidner (1884;1966) Ludwig Meidner 1928.,Unspecified,ציור|Painting,drawing,original,Franz Werfel,1928,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0005,IL-MTFN-001-G-F-0340-001,Engraving by Jakob Steinhardt 1928,תחריט של יעקב שטיינהרדט 1928.,Radierung von Jakob Steinhardt 1928.,Engraving by Jakob Steinhardt 1928.,Unspecified,ציור|Painting,drawing,original,Jakob Steinhardt,1928,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0006,IL-MTFN-001-G-F-0340-001,"Pencil Drawing and Engraving by Erich Brauer, 1919","רישום בעיפרון של אריך בראואר Erich Brauer, 1919 ותחריט (שחור/לבן) עם הקדשה.","Bleistiftzeichnung von Erich Brauer, 1919 und Radierung (schwarz/weiß) mit Widmung.","Pencil drawing by Erich Brauer, 1919 and engraving (black/white) with dedication.",Unspecified,ציור|Painting,drawing,original,Erich Brauer,1919,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0007,IL-MTFN-001-G-F-0340-001,פורטרייט של אריך בראואר,תדפיס (שחור/לבן) חתימה לא מזוהה; פורטרייט של אריך בראואר (שחור/לבן) לא ידוע מי עשה.,"Druck (schwarz/weiß) unbekannte Unterschrift; Porträt von Erich Brauer (schwarz/weiß) unbekannt, wer es gemacht hat.",Print (black/white) unidentified signature; portrait of Erich Brauer (black/white) unknown who made it.,Unspecified|לא צוין,תצלום|Photograph,print,original,אריך בראואר,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0340-001-R0008,IL-MTFN-001-G-F-0340-001,Lekta by Lola Waltsch 1961,"רישום בעט שחורה ""לקטה מאת לולה ולטש 23.12.1961"".","Registrierung mit schwarzem Stift ""Lekta von Lola Waltsch 23.12.1961"".","Registration in black pen ""Lekta by Lola Waltsch 23.12.1961"".",Hebrew,רשימות|Personal Notes,handwriting,original,,1961-12-23,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0010,IL-MTFN-001-G-F-0340-001,"Design for 'Mossad Ahava' Building by Käthe Bar, 1936","תכנון/שרטוט צבעוני שעשתה קתה בר לבנין ""מוסד אהבה"" בקריאת ביאליק, 1936.","Farbiger Entwurf/Zeichnung von Käthe Bar für das Gebäude 'Mossad Ahava' in Kiryat Bialik, 1936.","Colorful design/drawing made by Käthe Bar for the 'Mossad Ahava' building in Kiryat Bialik, 1936.",Unspecified,ציור|Painting,drawing,original,Käthe Bar,1936,,,
Objects,7619,dctype:PhysicalObject,true,IL-MTFN-001-G-F-0340-001-R0011,IL-MTFN-001-G-F-0340-001,Materials donated by Rachel Plaot,חומרים שתרמה רחל פלאות (חברתה של רחל דרור הבת של קתה בר):; 3 בובות עץ לתיאטרון בובות.,"Materialien gespendet von Rachel Plaot (Freundin von Rachel Dror, der Tochter von Kathe Bar):; 3 Holzpuppen für das Puppentheater.","Materials donated by Rachel Plaot (friend of Rachel Dror, the daughter of Kathe Bar):; 3 wooden puppets for puppet theater.",Unspecified,חפץ|Object,,other,,,,,
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0340-001-R0012,IL-MTFN-001-G-F-0340-001,תבת נח; מחזה משעשע לכמה ילדים,"מחזה כתוב בעברית (19 עמ') שכתב אלברט בר, אביה של רחל דרור, עם הכותרת ""תבת נח; מחזה משעשע לכמה ילדים עפ""י התנך והמדרש"". על הדף העליון של המחזה כתוב: מוקדש לקרן הקימת לישראל ליובל ה;25 מיום הוסדה, מאת המחבר.","Ein auf Hebräisch geschriebenes Stück (19 Seiten), geschrieben von Albert Bar, dem Vater von Rachel Dror, mit dem Titel ""Noahs Arche; Ein lustiges Stück für einige Kinder nach der Bibel und dem Midrasch"". Auf der obersten Seite des Stücks steht: Gewidmet dem Jüdischen Nationalfonds zum 25. Jubiläum seiner Gründung, vom Autor.","A play written in Hebrew (19 pages) by Albert Bar, the father of Rachel Dror, titled ""Noah's Ark; An amusing play for several children according to the Bible and the Midrash"". On the top page of the play it is written: Dedicated to the Jewish National Fund for the 25th anniversary of its founding, by the author.",Hebrew,מחזה|Play,handwriting,original,Albert Bar,,,,19
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0340-001-R0013,IL-MTFN-001-G-F-0340-001,"Poem in German by Albert Bar, 1972","שיר בגרמנית בחרוזים שכתב אלברט בר ב-1972; כתיבה בגרמנית בחרוזים מאת אלברט בר, ככל הנראה למטרת פרסום מוצר בעיתון קרית ביאליק.","Ein Gedicht auf Deutsch in Reimen, geschrieben von Albert Bar im Jahr 1972; Schreiben auf Deutsch in Reimen von Albert Bar, wahrscheinlich zum Zweck der Produktwerbung in der Zeitung Kiryat Bialik.","A poem in German in rhymes written by Albert Bar in 1972; writing in German in rhymes by Albert Bar, probably for the purpose of advertising a product in the Kiryat Bialik newspaper.",German,שיר|Poem,handwriting,original,Albert Bar,1972,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0014,IL-MTFN-001-G-F-0340-001,Theater Puppets Photographs and Sketches,תצלומים וסקיצות של בובות תיאטרון.,Fotos und Skizzen von Theaterpuppen.,Photographs and sketches of theater puppets.,Unspecified,תצלום|Photograph|סקיצה|Sketch,photography|drawing,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0340-001-R0016,IL-MTFN-001-G-F-0340-001,Photos of Rachel Dror and Rachel Plaot,תמונות של רחל דרור ורחל פלאות.,Fotos von Rachel Dror und Rachel Plaot.,Photos of Rachel Dror and Rachel Plaot.,Unspecified,תצלום|Photograph,photography,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0341-001-R0001,IL-MTFN-001-G-F-0341-001,Family House in Breslau,תמונות של בית המשפחה בברסלאו ששימש גם כאובסרבטוריום.,"Fotos des Familienhauses in Breslau, das auch als Observatorium diente.","Photos of the family house in Breslau, which also served as an observatory.",Unspecified,תצלום|Photograph,photography,original,,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0341-001-R0002,IL-MTFN-001-G-F-0341-001,Pictures of Rudolf Feige in Agrometeorological Delegation,"תמונות של רודולף פייגה בין היתר כחבר משלחת אגרימטאורולוגית, שהוזמנה ליצג את הישוב בארץ בארה""ב.","Bilder von Rudolf Feige, unter anderem als Mitglied einer agrarmeteorologischen Delegation, die eingeladen wurde, die Siedlung im Land in den USA zu vertreten.","Pictures of Rudolf Feige, among others, as a member of an agrometeorological delegation invited to represent the settlement in the country in the USA.",Unspecified,תצלום|Photograph,photography,original,Rudolf Feige,,,,
Creative Fiction,7614,arkivo:Creative_Fiction,true,IL-MTFN-001-G-F-0341-001-R0004,IL-MTFN-001-G-F-0341-001,German Song by Jewish Students in Breslau,שיר בגרמנית אותו שרו הסטודנטים היהודים בברסלאו.,"Ein Lied auf Deutsch, das die jüdischen Studenten in Breslau sangen.",A song in German that the Jewish students in Breslau sang.,German,שיר|Poem,,original,,,,,
Ephemera,7613,arkivo:Ephemera,true,IL-MTFN-001-G-F-0341-001-R0005,IL-MTFN-001-G-F-0341-001,Collection of Office Stamps from Germany,"אוסף ""בולי משרד"" מגרמניה מתחילת המאה ה-20.","Sammlung von ""Büromarken"" aus Deutschland vom Anfang des 20. Jahrhunderts.","Collection of ""Office Stamps"" from Germany from the early 20th century.",German,בול|Stamp,print,original,,,,,
Objects,7619,dctype:PhysicalObject,true,IL-MTFN-001-G-F-0341-001-R0006,IL-MTFN-001-G-F-0341-001,Beer Mug of Rudolf Feige,"קנקן בירה שהיה שייך לרודולף פייגה הצעיר עליו רשום שמו, כתובת ומשפט של היפוקרטס :; VITA BREVIS, ARS LONGA תרגום: החיים קצרים, האמנות (אמנות הרפואה) ארוכה.","Ein Bierkrug, der dem jungen Rudolf Feige gehörte, mit seinem Namen, Adresse und einem Satz von Hippokrates: VITA BREVIS, ARS LONGA Übersetzung: Das Leben ist kurz, die Kunst (die Kunst der Medizin) ist lang.","A beer mug that belonged to the young Rudolf Feige, with his name, address, and a sentence from Hippocrates: VITA BREVIS, ARS LONGA Translation: Life is short, art (the art of medicine) is long.",Other,חפץ|Object,other,original,Rudolf Feige,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0341-001-R0007,IL-MTFN-001-G-F-0341-001,Photos of Dr. Salomon,"2 תמונות של ד""ר סלומון (קצין רפואה בצבא הבריטי; מידע נתן מר יהויכין פייגה).",2 Fotos von Dr. Salomon (Sanitätsoffizier in der britischen Armee; Information gegeben von Herrn Jehoiachin Feige).,2 photos of Dr. Salomon (medical officer in the British Army; information provided by Mr. Jehoiachin Feige).,Unspecified,תצלום|Photograph,photography,original,Dr. Salomon,,,,
Legal Documents,7615,bibo:LegalDocument,true,IL-MTFN-001-G-F-0341-001-R0008,IL-MTFN-001-G-F-0341-001,"British Mandate's Response to Residence Permit Extension Request, 1936","התיחסות המנדט הבריטי לבקשתם של: אמיל פוהורילה Emil Pohorille & האבר תאלר Xaver Thaller; שכינויו היה פרי Ferry. & היינה בראונהארט Heine Braunhart לבקשתם להארכת אישור שהייה בארץ ישראל, שנת 1936. השלושה היו טייסי דאונים שהגיעו במשלחת ממרכז אירופה להשתתף במכביה ה;II.","Die britische Mandatsverwaltung bezieht sich auf den Antrag von: Emil Pohorille & Xaver Thaller, dessen Spitzname Ferry war, & Heine Braunhart auf Verlängerung der Aufenthaltserlaubnis in Palästina, Jahr 1936. Die drei waren Segelflieger, die in einer Delegation aus Mitteleuropa zur Teilnahme an der II. Makkabiade kamen.","The British Mandate's response to the request of: Emil Pohorille & Xaver Thaller, whose nickname was Ferry, & Heine Braunhart for an extension of their residence permit in Palestine, year 1936. The three were glider pilots who came in a delegation from Central Europe to participate in the II Maccabiah.",Hebrew,Letter,,other,,1936,,,
Misc,7629,,true,IL-MTFN-001-G-F-0341-001-R0010,IL-MTFN-001-G-F-0341-001,Names of Seven Pilots,שמות שבעת הטייסים:; 1. לותר יוליוסברגר Lothar Juliusberger; 2. מרטין סולטן Martin Sultan; 3. ארתור מאיירשטיין Artur Meyerstein; 4. קרל ויינשטיין Karl Weinstein; 5. לאו פולמן Leo Follmann; 6. פרי תאלר Verry Thaller; 7. היינץ בראונהרט Heinz Braunhart,Namen der sieben Piloten: 1. Lothar Juliusberger; 2. Martin Sultan; 3. Artur Meyerstein; 4. Karl Weinstein; 5. Leo Follmann; 6. Verry Thaller; 7. Heinz Braunhart,Names of the seven pilots: 1. Lothar Juliusberger; 2. Martin Sultan; 3. Artur Meyerstein; 4. Karl Weinstein; 5. Leo Follmann; 6. Verry Thaller; 7. Heinz Braunhart,Hebrew|German,רשימה|List,,other,,,,,
EgoDocuments,7610,arkivo:EgoDocument,true,IL-MTFN-001-G-F-0341-003-R0001,IL-MTFN-001-G-F-0341-003,Curriculum Vitae of Rudolf Feige,"קורות חיים של רודולף פייגה, בגרמנית.","Lebenslauf von Rudolf Feige, auf Deutsch.","Curriculum vitae of Rudolf Feige, in German.",German,קורות חיים|Biography,,original,Rudolf Feige,,,,
Images,7611,dctype:Image,true,IL-MTFN-001-G-F-0341-003-R0002,IL-MTFN-001-G-F-0341-003,Pictures of Rudolf and Friends,תמונות של רודולף וחברים.,Bilder von Rudolf und Freunden.,Pictures of Rudolf and friends.,Unspecified,תצלום|Photograph,photography,original,,,,,
Organization Papertrails,7616,arkivo:Organization_Papertrail,true,IL-MTFN-001-G-F-0341-004-R0001,IL-MTFN-001-G-F-0341-004,Gliders: Construction and Plans for the 2nd Maccabiah 1935,"דאונים: בנייתם, מימונם, הצוותים והתכנית להטסתם המכביה ה;2 1935, אישורי ממשלת המנדט, ביסוסו של קלוב טייס 'הגמל המעופף; לימים הקלוב הארצישראלי לתעופה. המסמכים כתובית בעיקר גרמנית אך גם עברית ואנגלית, מהשנים 1934;1935.","Gleiter: Bau, Finanzierung, Teams und Plan für ihren Flug, die 2. Makkabiade 1935, Genehmigungen der Mandatsregierung, Gründung des Fliegerclubs 'Der fliegende Kamel'; später der Palästinensische Luftfahrtclub. Die Dokumente sind hauptsächlich in Deutsch, aber auch in Hebräisch und Englisch, aus den Jahren 1934;1935.","Gliders: Their construction, financing, teams, and the plan for their flight, the 2nd Maccabiah 1935, Mandate Government approvals, establishment of the 'Flying Camel' pilot club; later the Palestinian Aviation Club. The documents are mainly in German but also in Hebrew and English, from the years 1934;1935.",German|Hebrew|English,Translated Document|Letter,,original,,1934,1935,,
